,Kenteken,Voertuigsoort,Merk,Datum eerste toelating DT,Datum
111974,83MPBZ,Motorfiets,BMW,05/15/2021 12:00:00 AM,2021-05-15
111977,83MPDF,Motorfiets,BMW,05/19/2021 12:00:00 AM,2021-05-19
111982,83MPDN,Motorfiets,BMW,05/27/2021 12:00:00 AM,2021-05-27
111984,83MPDR,Motorfiets,HARLEY DAVIDSON,05/28/2021 12:00:00 AM,2021-05-28
111986,83MPDT,Motorfiets,TRIUMPH,05/29/2021 12:00:00 AM,2021-05-29
111987,83MPDV,Motorfiets,KTM,07/07/2021 12:00:00 AM,2021-07-07
111988,83MPDX,Motorfiets,KAWASAKI,06/02/2021 12:00:00 AM,2021-06-02
111994,83MPFH,Motorfiets,HARLEY DAVIDSON,06/05/2021 12:00:00 AM,2021-06-05
111995,83MPFK,Motorfiets,HONDA,06/03/2021 12:00:00 AM,2021-06-03
111998,83MPFP,Motorfiets,KAWASAKI,06/04/2021 12:00:00 AM,2021-06-04
111999,83MPFR,Motorfiets,BMW,06/03/2021 12:00:00 AM,2021-06-03
112001,83MPFV,Motorfiets,YAMAHA,06/07/2021 12:00:00 AM,2021-06-07
112002,83MPFX,Motorfiets,HONDA,06/30/2021 12:00:00 AM,2021-06-30
112003,83MPFZ,Motorfiets,BMW,06/16/2021 12:00:00 AM,2021-06-16
112004,83MPGB,Motorfiets,YAMAHA,06/16/2021 12:00:00 AM,2021-06-16
112005,83MPGD,Motorfiets,YAMAHA,06/11/2021 12:00:00 AM,2021-06-11
112007,83MPGG,Motorfiets,HONDA,03/22/2021 12:00:00 AM,2021-03-22
112008,83MPGH,Motorfiets,KAWASAKI,06/19/2021 12:00:00 AM,2021-06-19
112009,83MPGJ,Motorfiets,KTM,06/15/2021 12:00:00 AM,2021-06-15
112010,83MPGK,Motorfiets,KAWASAKI,06/12/2021 12:00:00 AM,2021-06-12
112011,83MPGL,Motorfiets,ROYAL ENFIELD,06/23/2021 12:00:00 AM,2021-06-23
112013,83MPGR,Motorfiets,BMW,06/19/2021 12:00:00 AM,2021-06-19
112015,83MPGT,Motorfiets,BMW,06/19/2021 12:00:00 AM,2021-06-19
112016,83MPGV,Motorfiets,BMW,07/05/2021 12:00:00 AM,2021-07-05
112019,83MPHB,Motorfiets,DUCATI,06/29/2021 12:00:00 AM,2021-06-29
